Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c1.dat
  3.637912e-02   7.599500e-03   1.498046e-05
  3.764914e-02   7.522660e-03   1.460148e-05
  3.891916e-02   7.480270e-03   1.414926e-05
  4.018918e-02   7.397080e-03   1.392619e-05
  4.145920e-02   7.353460e-03   1.365683e-05
  4.272922e-02   7.267560e-03   1.341843e-05
  4.399924e-02   7.214790e-03   1.342013e-05
  4.526927e-02   7.149830e-03   1.319945e-05
  4.653929e-02   7.061590e-03   1.305679e-05
  4.780931e-02   7.000720e-03   1.307626e-05
  4.907933e-02   6.913060e-03   1.296829e-05
  5.034935e-02   6.835040e-03   1.288558e-05
  5.161937e-02   6.742440e-03   1.285609e-05
  5.288939e-02   6.659450e-03   1.268268e-05
  5.415941e-02   6.568290e-03   1.260851e-05
  5.542943e-02   6.506070e-03   1.254965e-05
  5.669945e-02   6.426590e-03   1.240352e-05
  5.796948e-02   6.333960e-03   1.237161e-05
  5.923950e-02   6.263330e-03   1.230134e-05
  6.050952e-02   6.174050e-03   1.214005e-05
  6.177954e-02   6.099300e-03   1.213174e-05
  6.304956e-02   6.006020e-03   1.202311e-05
  6.431958e-02   5.918000e-03   1.174408e-05
  6.558960e-02   5.834340e-03   1.139413e-05
  6.685962e-02   5.749320e-03   1.110339e-05
  6.812964e-02   5.671710e-03   1.082440e-05
  6.939967e-02   5.580930e-03   1.066669e-05
  7.066969e-02   5.515570e-03   1.046655e-05
  7.193971e-02   5.429430e-03   1.029578e-05
  7.320973e-02   5.333610e-03   1.018648e-05
  7.447975e-02   5.247260e-03   1.000189e-05
  7.574977e-02   5.168180e-03   9.880451e-06
  7.701979e-02   5.071930e-03   9.778108e-06
  7.828981e-02   5.003320e-03   9.621595e-06
  7.955983e-02   4.932750e-03   9.540370e-06
  8.082985e-02   4.829570e-03   9.450052e-06
  8.209988e-02   4.734560e-03   9.300311e-06
  8.336990e-02   4.662090e-03   9.233937e-06
  8.463992e-02   4.590040e-03   9.128696e-06
  8.590994e-02   4.501740e-03   9.001684e-06
  8.717996e-02   4.415600e-03   8.945641e-06
  8.844998e-02   4.352730e-03   8.840368e-06
  8.972000e-02   4.269380e-03   8.738527e-06
  9.099002e-02   4.179240e-03   8.690515e-06
  9.226004e-02   4.117840e-03   8.590605e-06
  9.353006e-02   4.043880e-03   8.508888e-06
  9.480009e-02   3.961510e-03   8.457538e-06
  9.607011e-02   3.880000e-03   8.345763e-06
  9.734013e-02   3.817180e-03   8.284158e-06
  9.861015e-02   3.718920e-03   8.224111e-06
  9.988017e-02   3.648870e-03   8.118961e-06
  1.011502e-01   3.573520e-03   8.072747e-06
  1.024202e-01   3.502680e-03   8.019044e-06
  1.036902e-01   3.422410e-03   7.933329e-06
  1.049603e-01   3.367570e-03   7.903186e-06
  1.062303e-01   3.287720e-03   7.843041e-06
  1.075003e-01   3.218840e-03   7.765320e-06
  1.087703e-01   3.150860e-03   7.734796e-06
  1.100403e-01   3.087670e-03   7.656893e-06
  1.113104e-01   3.027220e-03   7.594410e-06
  1.125804e-01   2.971680e-03   7.568809e-06
  1.138504e-01   2.894270e-03   7.489295e-06
  1.151204e-01   2.833760e-03   7.442588e-06
  1.163904e-01   2.763050e-03   7.406425e-06
  1.176605e-01   2.716340e-03   7.335922e-06
  1.189305e-01   2.649720e-03   7.379760e-06
  1.202005e-01   2.586160e-03   7.470845e-06
  1.214705e-01   2.537600e-03   7.482998e-06
  1.227405e-01   2.475780e-03   7.509568e-06
  1.240106e-01   2.414780e-03   7.516091e-06
  1.252806e-01   2.359440e-03   7.502109e-06
  1.265506e-01   2.300570e-03   7.504976e-06
  1.278206e-01   2.246370e-03   7.468243e-06
  1.290907e-01   2.190210e-03   7.421455e-06
  1.303607e-01   2.136920e-03   7.384835e-06
  1.316307e-01   2.091730e-03   7.203535e-06
  1.329007e-01   2.052720e-03   7.091039e-06
  1.341707e-01   1.996790e-03   7.081331e-06
  1.354408e-01   1.954640e-03   7.138877e-06
  1.367108e-01   1.903970e-03   7.174493e-06
  1.379808e-01   1.870580e-03   7.194124e-06
  1.392508e-01   1.828440e-03   7.168810e-06
  1.405208e-01   1.770800e-03   7.183839e-06
  1.417909e-01   1.738100e-03   7.208154e-06
  1.430609e-01   1.693410e-03   7.197513e-06
  1.443309e-01   1.659730e-03   7.229819e-06
  1.456009e-01   1.605290e-03   7.245383e-06
  1.468709e-01   1.572550e-03   7.218818e-06
  1.481410e-01   1.530000e-03   7.234151e-06
  1.494110e-01   1.487610e-03   7.221423e-06
  1.506810e-01   1.456940e-03   7.204690e-06
  1.519510e-01   1.417760e-03   7.240205e-06
  1.532211e-01   1.386920e-03   7.226019e-06
  1.544911e-01   1.343720e-03   7.217449e-06
  1.557611e-01   1.317810e-03   7.180361e-06
  1.570311e-01   1.279770e-03   7.013707e-06
  1.583011e-01   1.244290e-03   6.926815e-06
  1.595712e-01   1.210870e-03   6.855224e-06
  1.608412e-01   1.183500e-03   6.770807e-06
  1.621112e-01   1.153530e-03   6.741690e-06
  1.633812e-01   1.128620e-03   6.690720e-06
  1.646512e-01   1.100610e-03   6.635030e-06
  1.659213e-01   1.072400e-03   6.623203e-06
  1.671913e-01   1.045940e-03   6.580872e-06
  1.684613e-01   1.016450e-03   6.525700e-06
  1.697313e-01   9.896300e-04   6.491904e-06
  1.710013e-01   9.732600e-04   6.422719e-06
  1.722714e-01   9.456300e-04   6.376649e-06
  1.735414e-01   9.138700e-04   6.349527e-06
  1.748114e-01   8.840100e-04   6.288092e-06
  1.760814e-01   8.722200e-04   6.262478e-06
  1.773515e-01   8.456600e-04   6.243651e-06
  1.786215e-01   8.226400e-04   6.199575e-06
  1.798915e-01   7.984300e-04   6.192566e-06
  1.811615e-01   7.820700e-04   6.168991e-06
  1.824315e-01   7.683800e-04   6.121083e-06
  1.837016e-01   7.527900e-04   6.097165e-06
  1.849716e-01   7.340200e-04   6.044713e-06
  1.862416e-01   7.110000e-04   5.991419e-06
  1.875116e-01   6.918800e-04   5.966334e-06
  1.887816e-01   6.823700e-04   5.903480e-06
  1.900517e-01   6.615700e-04   5.854577e-06
  1.913217e-01   6.483000e-04   5.828242e-06
  1.925917e-01   6.312000e-04   5.774285e-06
  1.938617e-01   6.098600e-04   5.744388e-06
  1.951317e-01   5.931500e-04   5.718490e-06
  1.964018e-01   5.744800e-04   5.669394e-06
  1.976718e-01   5.660800e-04   5.645903e-06
  1.989418e-01   5.593800e-04   5.610674e-06
  2.002118e-01   5.519000e-04   5.559406e-06
  2.014819e-01   5.340900e-04   5.542183e-06
