Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c025.dat
  3.637912e-02   7.141540e-03   1.699362e-05
  3.764914e-02   7.103500e-03   1.655576e-05
  3.891916e-02   7.045790e-03   1.603587e-05
  4.018918e-02   7.022640e-03   1.578423e-05
  4.145920e-02   6.974230e-03   1.547806e-05
  4.272922e-02   6.944230e-03   1.521167e-05
  4.399924e-02   6.871770e-03   1.520819e-05
  4.526927e-02   6.821370e-03   1.496381e-05
  4.653929e-02   6.742330e-03   1.479929e-05
  4.780931e-02   6.685480e-03   1.481710e-05
  4.907933e-02   6.621770e-03   1.470516e-05
  5.034935e-02   6.551740e-03   1.461023e-05
  5.161937e-02   6.491420e-03   1.458093e-05
  5.288939e-02   6.420160e-03   1.439121e-05
  5.415941e-02   6.363190e-03   1.429991e-05
  5.542943e-02   6.303780e-03   1.423841e-05
  5.669945e-02   6.221530e-03   1.407171e-05
  5.796948e-02   6.166910e-03   1.403600e-05
  5.923950e-02   6.081720e-03   1.395992e-05
  6.050952e-02   6.001340e-03   1.378213e-05
  6.177954e-02   5.944630e-03   1.376925e-05
  6.304956e-02   5.883770e-03   1.365765e-05
  6.431958e-02   5.776130e-03   1.333699e-05
  6.558960e-02   5.709180e-03   1.294421e-05
  6.685962e-02   5.627820e-03   1.261265e-05
  6.812964e-02   5.553290e-03   1.229804e-05
  6.939967e-02   5.475040e-03   1.212566e-05
  7.066969e-02   5.388300e-03   1.189628e-05
  7.193971e-02   5.306800e-03   1.170369e-05
  7.320973e-02   5.244330e-03   1.158576e-05
  7.447975e-02   5.170850e-03   1.137268e-05
  7.574977e-02   5.073200e-03   1.124144e-05
  7.701979e-02   5.002850e-03   1.113258e-05
  7.828981e-02   4.924810e-03   1.095351e-05
  7.955983e-02   4.856020e-03   1.086201e-05
  8.082985e-02   4.768750e-03   1.075911e-05
  8.209988e-02   4.693970e-03   1.058711e-05
  8.336990e-02   4.600020e-03   1.051897e-05
  8.463992e-02   4.544840e-03   1.040323e-05
  8.590994e-02   4.453490e-03   1.026339e-05
  8.717996e-02   4.379020e-03   1.019940e-05
  8.844998e-02   4.301150e-03   1.008023e-05
  8.972000e-02   4.214820e-03   9.966509e-06
  9.099002e-02   4.139870e-03   9.913825e-06
  9.226004e-02   4.062190e-03   9.801748e-06
  9.353006e-02   3.997200e-03   9.708668e-06
  9.480009e-02   3.930820e-03   9.653026e-06
  9.607011e-02   3.857710e-03   9.527462e-06
  9.734013e-02   3.776810e-03   9.458218e-06
  9.861015e-02   3.729980e-03   9.391085e-06
  9.988017e-02   3.645960e-03   9.275614e-06
  1.011502e-01   3.563400e-03   9.222147e-06
  1.024202e-01   3.483430e-03   9.164611e-06
  1.036902e-01   3.400430e-03   9.068026e-06
  1.049603e-01   3.351100e-03   9.035644e-06
  1.062303e-01   3.289350e-03   8.967934e-06
  1.075003e-01   3.209840e-03   8.882021e-06
  1.087703e-01   3.140570e-03   8.848473e-06
  1.100403e-01   3.073010e-03   8.763080e-06
  1.113104e-01   3.011840e-03   8.692127e-06
  1.125804e-01   2.955970e-03   8.662338e-06
  1.138504e-01   2.897040e-03   8.573033e-06
  1.151204e-01   2.820980e-03   8.524157e-06
  1.163904e-01   2.764680e-03   8.483615e-06
  1.176605e-01   2.708620e-03   8.403811e-06
  1.189305e-01   2.654300e-03   8.454965e-06
  1.202005e-01   2.589680e-03   8.561646e-06
  1.214705e-01   2.517930e-03   8.572770e-06
  1.227405e-01   2.474310e-03   8.607350e-06
  1.240106e-01   2.408630e-03   8.618179e-06
  1.252806e-01   2.335970e-03   8.602846e-06
  1.265506e-01   2.294620e-03   8.605273e-06
  1.278206e-01   2.237200e-03   8.566407e-06
  1.290907e-01   2.198080e-03   8.513167e-06
  1.303607e-01   2.136670e-03   8.473557e-06
  1.316307e-01   2.081910e-03   8.262341e-06
  1.329007e-01   2.040260e-03   8.136916e-06
  1.341707e-01   1.988000e-03   8.126408e-06
  1.354408e-01   1.946060e-03   8.191842e-06
  1.367108e-01   1.903970e-03   8.234531e-06
  1.379808e-01   1.870030e-03   8.255547e-06
  1.392508e-01   1.805580e-03   8.231281e-06
  1.405208e-01   1.756710e-03   8.250649e-06
  1.417909e-01   1.722760e-03   8.275854e-06
  1.430609e-01   1.681040e-03   8.266585e-06
  1.443309e-01   1.646930e-03   8.305939e-06
  1.456009e-01   1.596480e-03   8.323652e-06
  1.468709e-01   1.547560e-03   8.293576e-06
  1.481410e-01   1.512190e-03   8.314415e-06
  1.494110e-01   1.469970e-03   8.300020e-06
  1.506810e-01   1.436560e-03   8.278548e-06
  1.519510e-01   1.406090e-03   8.323306e-06
  1.532211e-01   1.376480e-03   8.305323e-06
  1.544911e-01   1.329720e-03   8.297567e-06
  1.557611e-01   1.295840e-03   8.254574e-06
  1.570311e-01   1.255940e-03   8.065325e-06
  1.583011e-01   1.222020e-03   7.967555e-06
  1.595712e-01   1.188260e-03   7.885049e-06
  1.608412e-01   1.165240e-03   7.790212e-06
  1.621112e-01   1.137070e-03   7.755616e-06
  1.633812e-01   1.107970e-03   7.697678e-06
  1.646512e-01   1.072860e-03   7.633830e-06
  1.659213e-01   1.052220e-03   7.620987e-06
  1.671913e-01   1.017290e-03   7.573915e-06
  1.684613e-01   9.826300e-04   7.510979e-06
  1.697313e-01   9.713300e-04   7.472674e-06
  1.710013e-01   9.385400e-04   7.393074e-06
  1.722714e-01   9.128000e-04   7.339598e-06
  1.735414e-01   8.759900e-04   7.309734e-06
  1.748114e-01   8.653600e-04   7.242358e-06
  1.760814e-01   8.391900e-04   7.210637e-06
  1.773515e-01   8.237500e-04   7.189890e-06
  1.786215e-01   7.956700e-04   7.140694e-06
  1.798915e-01   7.700800e-04   7.132974e-06
  1.811615e-01   7.495600e-04   7.105771e-06
  1.824315e-01   7.324300e-04   7.052591e-06
  1.837016e-01   7.047000e-04   7.023120e-06
  1.849716e-01   6.890400e-04   6.964168e-06
  1.862416e-01   6.796800e-04   6.902392e-06
  1.875116e-01   6.633300e-04   6.874004e-06
  1.887816e-01   6.404700e-04   6.801433e-06
  1.900517e-01   6.237400e-04   6.745335e-06
  1.913217e-01   6.060500e-04   6.715722e-06
  1.925917e-01   5.969700e-04   6.652745e-06
  1.938617e-01   5.775300e-04   6.618039e-06
  1.951317e-01   5.511600e-04   6.590438e-06
  1.964018e-01   5.366000e-04   6.534467e-06
  1.976718e-01   5.303600e-04   6.507245e-06
  1.989418e-01   5.089100e-04   6.466216e-06
  2.002118e-01   5.116100e-04   6.407402e-06
  2.014819e-01   4.922600e-04   6.387359e-06
  2.027519e-01   4.887900e-04   6.351558e-06
  2.040219e-01   4.747000e-04   6.310284e-06
  2.052919e-01   4.566500e-04   6.305087e-06
  2.065619e-01   4.340500e-04   6.277012e-06
  2.078320e-01   4.206900e-04   6.251902e-06
  2.091020e-01   4.088400e-04   6.239052e-06
  2.103720e-01   3.936200e-04   6.202916e-06
  2.116420e-01   3.864500e-04   6.184238e-06
  2.129120e-01   3.796000e-04   6.166772e-06
  2.141821e-01   3.690500e-04   6.129114e-06
  2.154521e-01   3.618500e-04   6.112351e-06
  2.167221e-01   3.514000e-04   6.090230e-06
  2.179921e-01   3.449400e-04   6.053712e-06
  2.192621e-01   3.359600e-04   6.041985e-06
  2.205322e-01   3.279600e-04   6.017192e-06
  2.218022e-01   3.145500e-04   5.988578e-06
  2.230722e-01   3.085000e-04   5.979930e-06
  2.243422e-01   2.961000e-04   5.952958e-06
  2.256123e-01   2.943500e-04   5.945010e-06
  2.268823e-01   2.851900e-04   5.943510e-06
  2.281523e-01   2.766000e-04   5.912425e-06
  2.294223e-01   2.699100e-04   5.898117e-06
  2.306923e-01   2.715300e-04   5.884603e-06
  2.319624e-01   2.565500e-04   5.842486e-06
  2.332324e-01   2.472700e-04   5.825542e-06
  2.345024e-01   2.428800e-04   5.806029e-06
  2.357724e-01   2.389000e-04   5.777888e-06
  2.370424e-01   2.339000e-04   5.767099e-06
  2.383125e-01   2.314900e-04   5.745074e-06
  2.395825e-01   2.265600e-04   5.720922e-06
  2.408525e-01   2.157700e-04   5.725935e-06
  2.421225e-01   2.126000e-04   5.761630e-06
  2.433925e-01   2.029100e-04   5.810059e-06
  2.446626e-01   1.984300e-04   5.837513e-06
  2.459326e-01   2.010800e-04   5.835569e-06
  2.472026e-01   1.901200e-04   5.849539e-06
  2.484726e-01   1.831000e-04   5.862998e-06
  2.497427e-01   1.895600e-04   5.857668e-06
  2.510127e-01   1.832900e-04   5.880624e-06
  2.522827e-01   1.734100e-04   5.891746e-06
  2.535527e-01   1.653600e-04   5.890487e-06
  2.548227e-01   1.595200e-04   5.903438e-06
  2.560928e-01   1.566400e-04   5.888282e-06
  2.573628e-01   1.550600e-04   5.871548e-06
  2.586328e-01   1.576300e-04   5.879895e-06
  2.599028e-01   1.551800e-04   5.869482e-06
  2.611728e-01   1.446000e-04   5.859109e-06
  2.624429e-01   1.360700e-04   5.862145e-06
  2.637129e-01   1.406800e-04   5.775293e-06
  2.649829e-01   1.396300e-04   5.717191e-06
  2.662529e-01   1.325600e-04   5.677799e-06
  2.675229e-01   1.306800e-04   5.629090e-06
  2.687930e-01   1.243000e-04   5.606117e-06
  2.700630e-01   1.321600e-04   5.578524e-06
  2.713330e-01   1.285600e-04   5.542045e-06
  2.726030e-01   1.229400e-04   5.532395e-06
  2.738730e-01   1.169100e-04   5.503291e-06
  2.751431e-01   1.181300e-04   5.473172e-06
  2.764131e-01   1.199400e-04   5.466956e-06
  2.776831e-01   1.110500e-04   5.435025e-06
  2.789531e-01   1.105600e-04   5.409424e-06
  2.802232e-01   1.008900e-04   5.403150e-06
  2.814932e-01   1.034800e-04   5.374933e-06
  2.827632e-01   1.056100e-04   5.359805e-06
  2.840332e-01   9.330000e-05   5.348206e-06
  2.853032e-01   9.709000e-05   5.319661e-06
  2.865733e-01   9.878000e-05   5.316244e-06
  2.878433e-01   9.519000e-05   5.306823e-06
  2.891133e-01   9.394000e-05   5.287450e-06
  2.903833e-01   9.333000e-05   5.296074e-06
  2.916533e-01   8.854000e-05   5.289964e-06
  2.929234e-01   8.195000e-05   5.274203e-06
  2.941934e-01   9.127000e-05   5.275036e-06
  2.954634e-01   9.243000e-05   5.258553e-06
  2.967334e-01   8.741000e-05   5.247029e-06
  2.980034e-01   8.142000e-05   5.243390e-06
  2.992735e-01   8.213000e-05   5.215152e-06
  3.005435e-01   8.666000e-05   5.201821e-06
  3.018135e-01   8.219000e-05   5.189140e-06
  3.030835e-01   7.598000e-05   5.162326e-06
  3.043536e-01   7.984000e-05   5.160245e-06
  3.056236e-01   8.232000e-05   5.151354e-06
  3.068936e-01   7.667000e-05   5.131208e-06
  3.081636e-01   7.252000e-05   5.132475e-06
  3.094336e-01   7.990000e-05   5.122889e-06
  3.107037e-01   7.500000e-05   5.111829e-06
  3.119737e-01   7.119000e-05   5.116609e-06
  3.132437e-01   7.339000e-05   5.103244e-06
  3.145137e-01   7.961000e-05   5.097182e-06
  3.157837e-01   7.550000e-05   5.092745e-06
  3.170538e-01   6.772000e-05   5.068391e-06
  3.183238e-01   6.664000e-05   5.062635e-06
  3.195938e-01   7.265000e-05   5.055144e-06
  3.208638e-01   7.244000e-05   5.031060e-06
  3.221338e-01   6.943000e-05   5.026705e-06
  3.234039e-01   6.840000e-05   5.014149e-06
  3.246739e-01   7.716000e-05   4.995861e-06
  3.259439e-01   7.089000e-05   4.996525e-06
  3.272139e-01   7.816000e-05   4.984380e-06
  3.284840e-01   7.784000e-05   4.976602e-06
  3.297540e-01   7.655000e-05   4.983198e-06
  3.310240e-01   7.372000e-05   4.971725e-06
  3.322940e-01   7.368000e-05   4.996788e-06
  3.335640e-01   7.350000e-05   5.093268e-06
  3.348341e-01   7.645000e-05   5.144305e-06
  3.361041e-01   6.984000e-05   5.175304e-06
  3.373741e-01   7.183000e-05   5.200357e-06
  3.386441e-01   7.553000e-05   5.215372e-06
  3.399141e-01   6.777000e-05   5.246268e-06
  3.411842e-01   7.891000e-05   5.272834e-06
  3.424542e-01   7.317000e-05   5.289104e-06
  3.437242e-01   7.433000e-05   5.315831e-06
  3.449942e-01   7.613000e-05   5.305448e-06
  3.462642e-01   6.742000e-05   5.294787e-06
  3.475343e-01   6.852000e-05   5.304088e-06
  3.488043e-01   7.393000e-05   5.300667e-06
  3.500743e-01   6.666000e-05   5.296741e-06
  3.513443e-01   7.705000e-05   5.292328e-06
  3.526144e-01   7.280000e-05   5.272746e-06
  3.538844e-01   7.581000e-05   5.248952e-06
  3.551544e-01   7.693000e-05   5.178893e-06
  3.564244e-01   7.402000e-05   5.118793e-06
  3.576944e-01   7.463000e-05   5.094428e-06
  3.589645e-01   8.485000e-05   5.062865e-06
  3.602345e-01   8.577000e-05   5.034417e-06
  3.615045e-01   8.118000e-05   5.021106e-06
  3.627745e-01   8.219000e-05   4.976235e-06
  3.640445e-01   8.737000e-05   4.922004e-06
  3.653146e-01   8.473000e-05   4.889850e-06
  3.665846e-01   8.394000e-05   4.852624e-06
  3.678546e-01   8.012000e-05   4.836869e-06
  3.691246e-01   7.597000e-05   4.827276e-06
  3.703946e-01   8.615000e-05   4.806089e-06
  3.716647e-01   8.180000e-05   4.808349e-06
  3.729347e-01   7.337000e-05   4.805637e-06
  3.742047e-01   8.221000e-05   4.796971e-06
  3.754747e-01   7.973000e-05   4.807383e-06
  3.767448e-01   8.475000e-05   4.803680e-06
  3.780148e-01   8.325000e-05   4.799384e-06
  3.792848e-01   8.110000e-05   4.802205e-06
  3.805548e-01   8.624000e-05   4.784430e-06
  3.818248e-01   8.487000e-05   4.778582e-06
  3.830949e-01   8.856000e-05   4.775595e-06
  3.843649e-01   9.047000e-05   4.760056e-06
  3.856349e-01   9.646000e-05   4.761248e-06
  3.869049e-01   9.137000e-05   4.758074e-06
  3.881749e-01   9.397000e-05   4.743812e-06
  3.894450e-01   9.337000e-05   4.749868e-06
  3.907150e-01   9.442000e-05   4.738713e-06
  3.919850e-01   9.010000e-05   4.726314e-06
  3.932550e-01   8.964000e-05   4.729652e-06
  3.945250e-01   1.010300e-04   4.717043e-06
  3.957951e-01   9.235000e-05   4.709605e-06
  3.970651e-01   8.973000e-05   4.705631e-06
  3.983351e-01   9.576000e-05   4.685422e-06
  3.996051e-01   9.616000e-05   4.684210e-06
  4.008752e-01   9.885000e-05   4.685196e-06
  4.021452e-01   9.437000e-05   4.668390e-06
  4.034152e-01   9.631000e-05   4.664168e-06
  4.046852e-01   1.073500e-04   4.648220e-06
  4.059552e-01   9.952000e-05   4.633193e-06
  4.072253e-01   1.011400e-04   4.632786e-06
  4.084953e-01   1.055700e-04   4.621099e-06
  4.097653e-01   9.953000e-05   4.614044e-06
  4.110353e-01   9.740000e-05   4.610735e-06
  4.123053e-01   1.015500e-04   4.582933e-06
  4.135754e-01   1.041000e-04   4.565557e-06
  4.148454e-01   9.971000e-05   4.548649e-06
  4.161154e-01   1.038900e-04   4.523661e-06
  4.173854e-01   1.057300e-04   4.519678e-06
  4.186554e-01   1.039300e-04   4.510694e-06
  4.199255e-01   1.044500e-04   4.495581e-06
  4.211955e-01   1.012700e-04   4.496938e-06
  4.224655e-01   9.911000e-05   4.488011e-06
  4.237355e-01   1.011400e-04   4.479837e-06
  4.250056e-01   1.035200e-04   4.481373e-06
  4.262756e-01   1.032600e-04   4.468465e-06
  4.275456e-01   9.949000e-05   4.462488e-06
  4.288156e-01   1.048800e-04   4.460798e-06
  4.300856e-01   1.005500e-04   4.447928e-06
  4.313557e-01   1.006600e-04   4.449483e-06
  4.326257e-01   9.961000e-05   4.445950e-06
  4.338957e-01   1.047900e-04   4.433174e-06
  4.351657e-01   1.058400e-04   4.435397e-06
  4.364357e-01   1.028400e-04   4.426935e-06
  4.377058e-01   1.052500e-04   4.418830e-06
  4.389758e-01   1.024900e-04   4.425700e-06
