Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c0.dat
  1.925917e-01   4.720200e-04   6.570244e-06
  1.938617e-01   4.579100e-04   6.535982e-06
  1.951317e-01   4.514000e-04   6.508809e-06
  1.964018e-01   4.295900e-04   6.453774e-06
  1.976718e-01   4.183400e-04   6.426835e-06
  1.989418e-01   3.975400e-04   6.386526e-06
  2.002118e-01   3.846800e-04   6.330208e-06
  2.014819e-01   3.758000e-04   6.310274e-06
  2.027519e-01   3.633700e-04   6.273066e-06
  2.040219e-01   3.473100e-04   6.233359e-06
  2.052919e-01   3.463800e-04   6.228004e-06
  2.065619e-01   3.381600e-04   6.199657e-06
  2.078320e-01   3.243900e-04   6.176319e-06
  2.091020e-01   3.175400e-04   6.162473e-06
  2.103720e-01   3.122100e-04   6.126313e-06
  2.116420e-01   3.021100e-04   6.108255e-06
  2.129120e-01   2.871700e-04   6.091780e-06
  2.141821e-01   2.825000e-04   6.054327e-06
  2.154521e-01   2.775300e-04   6.038028e-06
  2.167221e-01   2.612400e-04   6.015734e-06
  2.179921e-01   2.522100e-04   5.979935e-06
  2.192621e-01   2.526200e-04   5.967392e-06
  2.205322e-01   2.432200e-04   5.943300e-06
  2.218022e-01   2.381200e-04   5.915342e-06
  2.230722e-01   2.273400e-04   5.905900e-06
  2.243422e-01   2.136000e-04   5.881410e-06
  2.256123e-01   2.034800e-04   5.872487e-06
  2.268823e-01   2.087400e-04   5.870585e-06
  2.281523e-01   2.021600e-04   5.840242e-06
  2.294223e-01   1.942900e-04   5.826628e-06
  2.306923e-01   1.894900e-04   5.813009e-06
  2.319624e-01   1.908500e-04   5.771953e-06
  2.332324e-01   1.857200e-04   5.754418e-06
  2.345024e-01   1.721200e-04   5.735962e-06
  2.357724e-01   1.763200e-04   5.707929e-06
  2.370424e-01   1.659800e-04   5.697264e-06
  2.383125e-01   1.608400e-04   5.676394e-06
  2.395825e-01   1.609200e-04   5.652346e-06
  2.408525e-01   1.514100e-04   5.656504e-06
  2.421225e-01   1.485600e-04   5.690714e-06
  2.433925e-01   1.436200e-04   5.738683e-06
  2.446626e-01   1.354400e-04   5.767491e-06
  2.459326e-01   1.332400e-04   5.766656e-06
  2.472026e-01   1.270500e-04   5.779656e-06
  2.484726e-01   1.217600e-04   5.793730e-06
  2.497427e-01   1.200200e-04   5.787095e-06
  2.510127e-01   1.187900e-04   5.812089e-06
  2.522827e-01   1.124600e-04   5.821205e-06
  2.535527e-01   1.106000e-04   5.819100e-06
  2.548227e-01   1.170200e-04   5.832517e-06
  2.560928e-01   1.134400e-04   5.815818e-06
  2.573628e-01   1.012500e-04   5.801580e-06
  2.586328e-01   1.033100e-04   5.809066e-06
  2.599028e-01   1.065000e-04   5.798436e-06
  2.611728e-01   1.002200e-04   5.788598e-06
  2.624429e-01   9.458000e-05   5.791101e-06
  2.637129e-01   9.448000e-05   5.706145e-06
  2.649829e-01   8.594000e-05   5.648349e-06
  2.662529e-01   8.763000e-05   5.610192e-06
  2.675229e-01   8.920000e-05   5.561445e-06
  2.687930e-01   8.156000e-05   5.538513e-06
  2.700630e-01   7.656000e-05   5.512024e-06
  2.713330e-01   7.699000e-05   5.476608e-06
  2.726030e-01   7.173000e-05   5.465061e-06
  2.738730e-01   7.443000e-05   5.436644e-06
  2.751431e-01   7.743000e-05   5.408231e-06
  2.764131e-01   7.307000e-05   5.401509e-06
  2.776831e-01   7.242000e-05   5.370012e-06
  2.789531e-01   6.938000e-05   5.344884e-06
  2.802232e-01   6.563000e-05   5.340227e-06
  2.814932e-01   6.391000e-05   5.310161e-06
  2.827632e-01   6.277000e-05   5.295001e-06
  2.840332e-01   7.429000e-05   5.284361e-06
  2.853032e-01   6.279000e-05   5.255620e-06
  2.865733e-01   6.188000e-05   5.253652e-06
  2.878433e-01   5.448000e-05   5.243284e-06
  2.891133e-01   5.762000e-05   5.223741e-06
  2.903833e-01   5.392000e-05   5.232784e-06
  2.916533e-01   5.081000e-05   5.227363e-06
  2.929234e-01   5.214000e-05   5.211795e-06
  2.941934e-01   4.979000e-05   5.212467e-06
  2.954634e-01   4.469000e-05   5.196848e-06
  2.967334e-01   4.826000e-05   5.184013e-06
  2.980034e-01   5.403000e-05   5.180662e-06
  2.992735e-01   4.532000e-05   5.153908e-06
  3.005435e-01   4.449000e-05   5.139988e-06
  3.018135e-01   5.092000e-05   5.127493e-06
  3.030835e-01   4.541000e-05   5.100862e-06
  3.043536e-01   4.484000e-05   5.099207e-06
  3.056236e-01   4.430000e-05   5.090707e-06
  3.068936e-01   4.961000e-05   5.069831e-06
  3.081636e-01   4.377000e-05   5.072153e-06
  3.094336e-01   4.862000e-05   5.062029e-06
  3.107037e-01   4.446000e-05   5.051504e-06
  3.119737e-01   4.028000e-05   5.055803e-06
  3.132437e-01   3.552000e-05   5.043299e-06
  3.145137e-01   4.144000e-05   5.036123e-06
  3.157837e-01   3.809000e-05   5.032153e-06
  3.170538e-01   3.799000e-05   5.008899e-06
  3.183238e-01   4.000000e-05   5.001175e-06
  3.195938e-01   3.921000e-05   4.995175e-06
  3.208638e-01   3.851000e-05   4.971353e-06
  3.221338e-01   4.053000e-05   4.967118e-06
  3.234039e-01   3.602000e-05   4.954526e-06
  3.246739e-01   3.740000e-05   4.935520e-06
  3.259439e-01   4.068000e-05   4.937406e-06
  3.272139e-01   3.868000e-05   4.926023e-06
  3.284840e-01   3.295000e-05   4.918673e-06
  3.297540e-01   3.822000e-05   4.924124e-06
  3.310240e-01   3.898000e-05   4.912507e-06
  3.322940e-01   4.003000e-05   4.937540e-06
  3.335640e-01   3.851000e-05   5.032602e-06
  3.348341e-01   3.633000e-05   5.083355e-06
  3.361041e-01   4.225000e-05   5.113879e-06
  3.373741e-01   4.049000e-05   5.138982e-06
  3.386441e-01   3.647000e-05   5.153820e-06
  3.399141e-01   4.001000e-05   5.183612e-06
  3.411842e-01   3.657000e-05   5.210479e-06
  3.424542e-01   3.900000e-05   5.226289e-06
  3.437242e-01   4.554000e-05   5.252044e-06
  3.449942e-01   4.918000e-05   5.242148e-06
  3.462642e-01   4.440000e-05   5.232256e-06
  3.475343e-01   3.753000e-05   5.241336e-06
  3.488043e-01   5.061000e-05   5.238006e-06
  3.500743e-01   4.312000e-05   5.233550e-06
  3.513443e-01   3.830000e-05   5.230082e-06
  3.526144e-01   3.730000e-05   5.209439e-06
  3.538844e-01   4.575000e-05   5.187255e-06
  3.551544e-01   5.479000e-05   5.116549e-06
  3.564244e-01   4.450000e-05   5.057699e-06
  3.576944e-01   4.916000e-05   5.034699e-06
  3.589645e-01   4.873000e-05   5.002635e-06
  3.602345e-01   4.376000e-05   4.974504e-06
  3.615045e-01   4.516000e-05   4.961361e-06
  3.627745e-01   4.441000e-05   4.916407e-06
  3.640445e-01   4.979000e-05   4.863949e-06
  3.653146e-01   4.982000e-05   4.831926e-06
  3.665846e-01   4.883000e-05   4.795295e-06
  3.678546e-01   5.086000e-05   4.779662e-06
  3.691246e-01   6.173000e-05   4.769136e-06
  3.703946e-01   5.163000e-05   4.749637e-06
  3.716647e-01   5.073000e-05   4.751036e-06
  3.729347e-01   5.502000e-05   4.748346e-06
  3.742047e-01   5.643000e-05   4.738897e-06
  3.754747e-01   5.259000e-05   4.749663e-06
  3.767448e-01   5.352000e-05   4.745974e-06
  3.780148e-01   5.393000e-05   4.741721e-06
  3.792848e-01   5.663000e-05   4.744590e-06
  3.805548e-01   5.900000e-05   4.727463e-06
  3.818248e-01   6.042000e-05   4.721543e-06
  3.830949e-01   6.404000e-05   4.719798e-06
  3.843649e-01   5.963000e-05   4.703390e-06
  3.856349e-01   6.218000e-05   4.704266e-06
  3.869049e-01   6.225000e-05   4.701333e-06
  3.881749e-01   6.343000e-05   4.687647e-06
  3.894450e-01   6.560000e-05   4.692858e-06
  3.907150e-01   7.173000e-05   4.681720e-06
  3.919850e-01   5.580000e-05   4.670032e-06
  3.932550e-01   6.733000e-05   4.672109e-06
  3.945250e-01   6.927000e-05   4.660764e-06
  3.957951e-01   6.338000e-05   4.653180e-06
  3.970651e-01   6.289000e-05   4.650135e-06
  3.983351e-01   6.534000e-05   4.629694e-06
  3.996051e-01   7.009000e-05   4.627772e-06
  4.008752e-01   7.193000e-05   4.628518e-06
  4.021452e-01   7.312000e-05   4.612739e-06
  4.034152e-01   6.930000e-05   4.608252e-06
  4.046852e-01   7.070000e-05   4.593180e-06
  4.059552e-01   6.823000e-05   4.577958e-06
  4.072253e-01   5.782000e-05   4.578033e-06
  4.084953e-01   6.613000e-05   4.565362e-06
  4.097653e-01   7.193000e-05   4.558937e-06
  4.110353e-01   6.893000e-05   4.555576e-06
  4.123053e-01   6.713000e-05   4.528372e-06
  4.135754e-01   7.580000e-05   4.510476e-06
  4.148454e-01   7.890000e-05   4.494092e-06
  4.161154e-01   6.991000e-05   4.470027e-06
  4.173854e-01   7.149000e-05   4.465643e-06
  4.186554e-01   7.100000e-05   4.456759e-06
  4.199255e-01   7.730000e-05   4.441868e-06
  4.211955e-01   6.941000e-05   4.443140e-06
  4.224655e-01   6.834000e-05   4.434138e-06
  4.237355e-01   6.889000e-05   4.426063e-06
  4.250056e-01   7.484000e-05   4.427692e-06
  4.262756e-01   7.109000e-05   4.414384e-06
  4.275456e-01   7.157000e-05   4.409110e-06
  4.288156e-01   7.065000e-05   4.407892e-06
  4.300856e-01   7.250000e-05   4.394731e-06
  4.313557e-01   7.661000e-05   4.396022e-06
  4.326257e-01   7.234000e-05   4.392392e-06
  4.338957e-01   6.815000e-05   4.380282e-06
  4.351657e-01   7.643000e-05   4.382538e-06
  4.364357e-01   6.643000e-05   4.373409e-06
  4.377058e-01   6.964000e-05   4.365811e-06
  4.389758e-01   7.156000e-05   4.373134e-06
  4.402458e-01   7.704000e-05   4.400054e-06
  4.415158e-01   6.575000e-05   4.428496e-06
  4.427858e-01   6.742000e-05   4.443738e-06
  4.440559e-01   7.012000e-05   4.446114e-06
  4.453259e-01   7.720000e-05   4.463185e-06
  4.465959e-01   7.028000e-05   4.470507e-06
  4.478659e-01   7.264000e-05   4.471257e-06
  4.491360e-01   6.814000e-05   4.483643e-06
  4.504060e-01   7.428000e-05   4.483694e-06
  4.516760e-01   6.756000e-05   4.485929e-06
  4.529460e-01   6.463000e-05   4.497238e-06
  4.542160e-01   7.355000e-05   4.499166e-06
  4.554861e-01   7.323000e-05   4.507236e-06
  4.567561e-01   7.395000e-05   4.512104e-06
  4.580261e-01   7.161000e-05   4.506582e-06
  4.592961e-01   6.911000e-05   4.519745e-06
  4.605661e-01   6.987000e-05   4.518922e-06
  4.618362e-01   7.261000e-05   4.478125e-06
  4.631062e-01   7.213000e-05   4.458602e-06
  4.643762e-01   7.163000e-05   4.437809e-06
  4.656462e-01   6.513000e-05   4.416187e-06
  4.669162e-01   7.035000e-05   4.408290e-06
  4.681863e-01   6.574000e-05   4.388559e-06
  4.694563e-01   6.660000e-05   4.377352e-06
  4.707263e-01   6.528000e-05   4.374794e-06
  4.719963e-01   7.161000e-05   4.357687e-06
  4.732664e-01   6.641000e-05   4.355207e-06
  4.745364e-01   6.792000e-05   4.350121e-06
  4.758064e-01   5.973000e-05   4.336837e-06
  4.770764e-01   6.364000e-05   4.339398e-06
  4.783464e-01   6.645000e-05   4.336213e-06
  4.796165e-01   6.394000e-05   4.329348e-06
  4.808865e-01   6.632000e-05   4.335063e-06
  4.821565e-01   6.364000e-05   4.346803e-06
  4.834265e-01   6.408000e-05   4.356851e-06
  4.846965e-01   5.933000e-05   4.364591e-06
  4.859666e-01   6.386000e-05   4.361151e-06
  4.872366e-01   6.086000e-05   4.371447e-06
  4.885066e-01   6.179000e-05   4.355461e-06
  4.897766e-01   5.999000e-05   4.322129e-06
  4.910466e-01   5.174000e-05   4.312741e-06
  4.923167e-01   5.883000e-05   4.300400e-06
  4.935867e-01   6.063000e-05   4.283403e-06
  4.948567e-01   5.718000e-05   4.272044e-06
  4.961267e-01   6.366000e-05   4.254294e-06
  4.973967e-01   6.373000e-05   4.248696e-06
  4.986668e-01   5.750000e-05   4.248201e-06
  4.999368e-01   5.572000e-05   4.235728e-06
  5.012068e-01   5.306000e-05   4.235963e-06
  5.024768e-01   5.702000e-05   4.238659e-06
  5.037469e-01   5.879000e-05   4.234597e-06
  5.050169e-01   5.897000e-05   4.246246e-06
  5.062869e-01   5.741000e-05   4.255942e-06
  5.075569e-01   5.223000e-05   4.261439e-06
  5.088269e-01   5.828000e-05   4.264535e-06
  5.100970e-01   5.808000e-05   4.254148e-06
  5.113670e-01   5.802000e-05   4.249337e-06
  5.126370e-01   5.248000e-05   4.241824e-06
  5.139070e-01   5.978000e-05   4.220577e-06
  5.151770e-01   5.115000e-05   4.218794e-06
  5.164471e-01   6.199000e-05   4.214141e-06
  5.177171e-01   5.652000e-05   4.202240e-06
  5.189871e-01   5.800000e-05   4.206115e-06
  5.202571e-01   6.632000e-05   4.203434e-06
  5.215271e-01   5.752000e-05   4.197086e-06
  5.227972e-01   6.180000e-05   4.197711e-06
  5.240672e-01   5.899000e-05   4.191429e-06
  5.253372e-01   5.783000e-05   4.185777e-06
  5.266072e-01   5.400000e-05   4.184103e-06
  5.278773e-01   5.496000e-05   4.173865e-06
  5.291473e-01   5.220000e-05   4.172280e-06
  5.304173e-01   5.571000e-05   4.177214e-06
  5.316873e-01   6.072000e-05   4.196669e-06
  5.329573e-01   4.806000e-05   4.217773e-06
