Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c05.dat
  3.637912e-02   7.961590e-03   1.703766e-05
  3.764914e-02   7.932690e-03   1.660428e-05
  3.891916e-02   7.877720e-03   1.608505e-05
  4.018918e-02   7.807200e-03   1.583359e-05
  4.145920e-02   7.751630e-03   1.553216e-05
  4.272922e-02   7.677170e-03   1.526516e-05
  4.399924e-02   7.620770e-03   1.526011e-05
  4.526927e-02   7.558140e-03   1.502204e-05
  4.653929e-02   7.463670e-03   1.485100e-05
  4.780931e-02   7.400210e-03   1.487292e-05
  4.907933e-02   7.326690e-03   1.476443e-05
  5.034935e-02   7.247880e-03   1.466650e-05
  5.161937e-02   7.184390e-03   1.463063e-05
  5.288939e-02   7.096380e-03   1.444080e-05
  5.415941e-02   6.994410e-03   1.435741e-05
  5.542943e-02   6.919000e-03   1.429199e-05
  5.669945e-02   6.821210e-03   1.412556e-05
  5.796948e-02   6.748980e-03   1.409338e-05
  5.923950e-02   6.656360e-03   1.401551e-05
  6.050952e-02   6.568620e-03   1.383667e-05
  6.177954e-02   6.506270e-03   1.382364e-05
  6.304956e-02   6.395760e-03   1.371150e-05
  6.431958e-02   6.330500e-03   1.338584e-05
  6.558960e-02   6.216850e-03   1.298977e-05
  6.685962e-02   6.169010e-03   1.265981e-05
  6.812964e-02   6.066800e-03   1.234269e-05
  6.939967e-02   5.948440e-03   1.216906e-05
  7.066969e-02   5.878290e-03   1.194198e-05
  7.193971e-02   5.787360e-03   1.175013e-05
  7.320973e-02   5.700560e-03   1.162745e-05
  7.447975e-02   5.609530e-03   1.141475e-05
  7.574977e-02   5.516320e-03   1.127936e-05
  7.701979e-02   5.445890e-03   1.116687e-05
  7.828981e-02   5.353070e-03   1.098843e-05
  7.955983e-02   5.285700e-03   1.089589e-05
  8.082985e-02   5.170870e-03   1.079668e-05
  8.209988e-02   5.083720e-03   1.062343e-05
  8.336990e-02   5.005670e-03   1.055136e-05
  8.463992e-02   4.921520e-03   1.043505e-05
  8.590994e-02   4.850860e-03   1.029026e-05
  8.717996e-02   4.734210e-03   1.022898e-05
  8.844998e-02   4.661130e-03   1.011090e-05
  8.972000e-02   4.571600e-03   9.995637e-06
  9.099002e-02   4.490600e-03   9.945248e-06
  9.226004e-02   4.406600e-03   9.828385e-06
  9.353006e-02   4.315150e-03   9.737405e-06
  9.480009e-02   4.243870e-03   9.679678e-06
  9.607011e-02   4.177310e-03   9.552323e-06
  9.734013e-02   4.100490e-03   9.482972e-06
  9.861015e-02   4.008670e-03   9.419858e-06
  9.988017e-02   3.941200e-03   9.299315e-06
  1.011502e-01   3.864150e-03   9.246165e-06
  1.024202e-01   3.776740e-03   9.187408e-06
  1.036902e-01   3.692950e-03   9.090147e-06
  1.049603e-01   3.623150e-03   9.055463e-06
  1.062303e-01   3.545430e-03   8.989398e-06
  1.075003e-01   3.478410e-03   8.902882e-06
  1.087703e-01   3.414270e-03   8.868169e-06
  1.100403e-01   3.341130e-03   8.780829e-06
  1.113104e-01   3.251580e-03   8.711135e-06
  1.125804e-01   3.183300e-03   8.682634e-06
  1.138504e-01   3.108600e-03   8.594217e-06
  1.151204e-01   3.048230e-03   8.540763e-06
  1.163904e-01   2.990980e-03   8.500828e-06
  1.176605e-01   2.918000e-03   8.421226e-06
  1.189305e-01   2.843530e-03   8.471093e-06
  1.202005e-01   2.796170e-03   8.579181e-06
  1.214705e-01   2.737880e-03   8.592481e-06
  1.227405e-01   2.663790e-03   8.622272e-06
  1.240106e-01   2.605880e-03   8.632951e-06
  1.252806e-01   2.548920e-03   8.617822e-06
  1.265506e-01   2.483370e-03   8.623825e-06
  1.278206e-01   2.428280e-03   8.580806e-06
  1.290907e-01   2.375920e-03   8.530073e-06
  1.303607e-01   2.308550e-03   8.487721e-06
  1.316307e-01   2.258330e-03   8.278484e-06
  1.329007e-01   2.222260e-03   8.151881e-06
  1.341707e-01   2.170840e-03   8.139332e-06
  1.354408e-01   2.113230e-03   8.205584e-06
  1.367108e-01   2.062670e-03   8.249206e-06
  1.379808e-01   2.023060e-03   8.271373e-06
  1.392508e-01   1.977210e-03   8.243972e-06
  1.405208e-01   1.916640e-03   8.261491e-06
  1.417909e-01   1.882920e-03   8.291246e-06
  1.430609e-01   1.827560e-03   8.277707e-06
  1.443309e-01   1.785320e-03   8.316666e-06
  1.456009e-01   1.738460e-03   8.334616e-06
  1.468709e-01   1.688930e-03   8.306999e-06
  1.481410e-01   1.644530e-03   8.326110e-06
  1.494110e-01   1.598520e-03   8.311066e-06
  1.506810e-01   1.561380e-03   8.291330e-06
  1.519510e-01   1.533230e-03   8.333050e-06
